detector,check_name,fault_type,match_on
bridge,contract_violation,schema_drift,event
bridge,contract_violation,impossible_status,event
spark,over_capacity,impossible_status,event
spark,teleport,teleport,event
spark,late_event,late_event,event
spark,late_event,stream_stall,stall
spark,orphan_trip,orphan_trip,trip
spark,frozen_station,frozen_station,episode
spark,silent_station,silent_station,episode
dbt,duplicate_event,duplicate,event
dbt,late_event,late_event,event
dbt,late_event,stream_stall,stall
dbt,over_capacity,impossible_status,event
dbt,teleport,teleport,event
dbt,orphan_trip,orphan_trip,trip
dbt,stale_snapshot,frozen_station,episode
dbt,reporting_gap,silent_station,episode
